species,sex,ID,color_band,trt,section,site,date,year,nest,age,stage,light,lux,LAeq,LZeq,LAF90,LAeq_N,mass,tarsus,wing,tail,eye,bill.l,bill.tn,bill.d,bill.w,muscle,fat,cp_score,measurer,nb_date,egg_date,
ATFL,M,2921-49605,YY-RS,Noise,green,TP05,5/21/24,2024,,AHY,TE,N,0,44.9,78.8,43.3,,26.12,23.3,98,96,6.3,20,15.55,6.1,6.95,3,1,,TP,,,
ATFL,M,2921-49602,GY-RS,Light,red,PC13,5/13/24,2024,PC13B4,AHY,TE,Y,0.58,44.4,62.4,42.8,33.1,30.5,25.4,104,96,6.8,18,15.1,6.55,7.1,2,0,,TP,4/23/24,,
ATFL,M,2821-25094,GY-OS,Light+Noise,blue,TP02,5/28/24,2024,,AHY,TE,Y,,36.6,64,33.8,,27.94,23.9,98,93,6.1,17.9,15.5,5.9,7.2,1,0,,TP,,,
ATFL,M,2921-49603,WW-RS,Light,blue,CP02,5/14/24,2024,,AHY,TE,Y,,32,70.6,29.8,,26.5,21.05,100,96,4.5,17.8,15.2,7.1,7.2,2,0,,TP,,,
ATFL,M,2921-49660,YY-OS,Control,pink,CP10,7/7/24,2024,CP10B6,AHY,Chx,N,0,31.6,76,28.3,31.6,27.65,22.1,106,97,5.2,16.1,14.5,5.9,7.3,2,0,,AR,5/27/24,6/13/24,
ATFL,M,2921-49604,WB-RS,Light,pink,PC1,5/20/24,2024,,AHY,TE,Y,,35.8,58.9,30.8,,27.73,23.7,101,94,6.1,19,15.3,6.2,7.4,2,1,,TP,,,
ATFL,M,2921-17871,YS-BO,Noise,orange,PT3,6/27/24,2024,PT03B5,AHY,Chx,N,0,33.6,72.5,28.7,33.6,26.81,22.2,99.5,102,6.43,17.3,15.7,6.15,7.5,3,1,,JP,5/22/24,5/28/24,
ATFL,M,2921-49606,YG-OS,Noise,yellow,TP11,5/29/24,2024,,AHY,TE,N,0,43.5,65.7,42.9,,28.58,22.2,102,100,6.25,18.5,15.6,5.85,7.6,2,0,,TP,,,
ATFL,F,2921-49630,KW-BS,Light,green,PC6,6/23/24,2024,PC6B4,AHY,Chx,Y,0.4,33.8,69,30.9,33.8,25.18,23.1,94,82,7,19,15,5.8,8.1,1,0,,TP,5/21/24,5/31/24,
ATFL,F,2921-17857,RR-RS,Noise,orange,PT3,5/22/24,2024,,AHY,TE,N,0,26.3,69.8,22.7,,29.9,23.1,94,93,6.1,17.2,13,6.4,8.15,2,1,,MT,,,
ATFL,M,2921-17880,BR-GS,Light,red,PC13,7/18/24,2024,,AHY,Chx,Y,,36.4,65.9,33.5,,26.2,22.6,101.5,102,6.2,15.42,13.8,5.7,8.2,2,0,,JP,,,
ATFL,F,2921-17856,YY-YS,Control,red,CP08,5/20/24,2024,CP08B4,AHY,TE,N,0,36,70.3,34.3,44.4,28.92,24,95,95,7.2,15.8,13.4,6.1,8.2,3,0,,CT,5/20/24,5/21/24,
ATFL,M,2881-53276,BS-BB,Noise,green,TP05,5/2/24,2024,,AHY,TE,N,0,49.8,81.3,48.4,,29.56,22.2,102,101,6.6,17.4,15.8,6.3,8.25,3,1,,JP,,,
ATFL,M,2941-73547,RS-RR,Noise,pink,TP10,4/23/24,2024,,AHY,TE,N,0,43.1,68.8,42.4,,26.6,22.8,98.5,101,6.1,16.3,15.1,5.8,8.3,2,2,,JP,,,
ATFL,M,2921-49663,WR-RS,Light,red,PC13,7/18/24,2024,,AHY,Chx,Y,,36.4,65.9,33.5,,,23.4,103.1,103,6.92,17.9,15.75,5.9,8.3,2,0,,JP,,,
ATFL,M,2921-49611,OO-OS,Light,red,PC13,6/20/24,2024,PC13B5,AHY,Chx,Y,0.57,36.5,76.8,32.7,36.5,22.62,23.5,110,94,6.8,18.2,16.2,6.1,8.4,2,1,,TP,5/20/24,5/26/24,
ATFL,M,2921-17873,BS-BR,Light,yellow,CP12,6/27/24,2024,CP12B13,AHY,Chx,Y,0.52,30.8,65.2,27,30.8,27.13,23.4,100.8,97,6.8,16.91,14.15,5.71,8.5,3,0,,JP,5/15/24,5/24/24,
ATFL,M,2921-49601,RR-RS,Light+Noise,yellow,PT11,5/9/24,2024,,AHY,TE,Y,,32.5,65.6,23.7,,26,26.1,109,103,5.9,15.9,13,6.2,8.9,4,0,,MT,,,
ATFL,M,2921-17854,OS-OO,Light,orange,CP04,4/29/24,2024,,AHY,TE,Y,,30.3,66,24.2,,29,23.4,100,94,5.5,16.1,14.6,6.05,9.25,3,1,,JP,,,
ATFL,F,2921-17872,GS-WB,Noise,orange,PT3,6/27/24,2024,PT03B5,AHY,Chx,N,0,33.6,72.5,28.7,33.6,26.66,22.45,98.8,91,6,16.5,14.95,6.3,9.35,2,0,,JP,5/22/24,5/28/24,
ATFL,F,2921-49682,GW-KS,Light+Noise,red,PT14,6/11/25,2025,PT14B10,AHY,Eggs,Y,0.43,53.8,71,52.4,,27.13,23.3,96.5,96,4.9,15.5,14,5.55,6.7,2,0,,AR,,,
ATFL,F,3251-02970,BY-BS,Light,blue,CP02,7/4/25,2025,CP02B4,ASY,Chx,Y,0,42.8,58.6,27.2,36.36,23.26,22.8,91.5,91,4.9,19,15.8,5.7,6.9,2,0,0,TV,5/21/25,6/6/25,
ATFL,M,2921-49678,OS-BO,Control,red,CP08,6/9/25,2025,,AHY,Eggs,N,0,35.9,71.6,32.6,,27.57,20.8,99,94,4.5,18.1,14.4,6,7,2,0,0,TP,,,
ATFL,M,2921-49676,YY-GS,Light,yellow,CP12,6/7/25,2025,CP12B14,SY,Eggs,Y,0.56,30.2,58.9,24.2,33.85,28.08,22.5,100.5,95,5.9,16.5,13.25,5.7,7.1,2,0,0,IW,5/12/25,5/20/25,
ATFL,M,3251-02964,GO-WS,Control,red,CP08,7/1/25,2025,CP08B2,SY,Chx,N,0,37.4,58.3,30.5,35.83,25.36,23,104,95,5.1,18.5,14.4,6.7,7.1,2,0,0,TP,5/26/25,6/2/25,
ATFL,M,2921-49664,OK-GS,Light,pink,PC1,5/22/25,2025,PC1B1,ASY,TE,Y,0.3,24.5,62.9,22.3,24.9,26.43,22.6,99,96,4.7,18.8,14.8,5.55,7.2,3,1,0,TV,5/13/25,,
ATFL,F,2921-17886,KS-OO,Light+Noise,blue,TP02,6/16/25,2025,TP02B13,SY,Eggs,Y,0.66,32.6,65,30.7,39.05,27.93,22.7,94,94,4.6,18,14.4,6,7.2,2,0,0,TV,5/21/25,6/5/25,
ATFL,M,2921-17882,RR-KS,Noise,red,PT15,5/12/25,2025,,ASY,TE,N,0,40,65.7,38.4,,27.27,22.8,103.5,104,4.6,18.2,16,6.1,7.2,4,0,0,TV,,,
ATFL,M,2921-49606,YG-OS,Noise,yellow,TP11,6/11/25,2025,TP11B2,ASY,Eggs,N,0,25.1,56.8,23.9,39.6,28,23.35,101,98,5.15,20.6,16.05,5.7,7.25,3,0,0,TV,5/27/25,5/29/25,
ATFL,M,2921-49664,OK-GS,Light,pink,PC1,5/15/25,2025,PC1B9,AHY,TE,Y,2.14,35.4,64.3,29.5,27.85,26.6,22.9,103,99,5,17.4,13.9,5.5,7.3,2,0,2,AR,5/13/25,,
ATFL,M,2921-17898,BS-WB,Control,pink,PC1,6/26/25,2025,PC1B8,AHY,Eggs,N,0,28.1,62.6,25.1,29.98,27.12,22.5,100,100,4.75,20.5,17,5.55,7.3,3,1,,TV,6/6/25,6/10/25,
ATFL,M,2921-49669,RO-KS,Light,green,PC6,5/28/25,2025,,ASY,TE,Y,,27.1,58.3,26.1,,28.85,23.4,100.5,97,5.1,20.8,15.5,6,7.3,3,0,,TV,,,
ATFL,M,2921-49680,OK-BS,Light+Noise,red,PT14,6/11/25,2025,PT14B10,ASY,Eggs,Y,0.43,53.8,71,52.4,48.76,27.51,23.5,101.5,91,4.6,19.7,15.7,6.1,7.3,2,0,0,TV,5/21/25,5/29/25,
ATFL,M,2921-17885,YS-YY,Control,blue,CP02,6/6/25,2025,CP02B1,ASY,Eggs,N,0,32.2,63.4,30.4,31.5,29.38,24.9,101.5,98,5.3,16.9,16.2,6.3,7.3,3,0,0,CM,5/17/25,5/23/25,
ATFL,F,2921-17874,KS-BB,Control,pink,CP10,6/9/25,2025,CP10B7,AHY,Eggs,N,0,42.4,69.4,40.7,40.27,21.8,23.7,100,95,5.2,18.2,15.1,6.3,7.3,4,0,0,CM,5/23/25,5/28/25,
